championStats_abilityHaste,championStats_abilityPower,championStats_armor,championStats_armorPen,championStats_armorPenPercent,championStats_attackDamage,championStats_attackSpeed,championStats_bonusArmorPenPercent,championStats_bonusMagicPenPercent,championStats_ccReduction,championStats_cooldownReduction,championStats_health,championStats_healthMax,championStats_healthRegen,championStats_lifesteal,championStats_magicPen,championStats_magicPenPercent,championStats_magicResist,championStats_movementSpeed,championStats_omnivamp,championStats_physicalVamp,championStats_power,championStats_powerMax,championStats_powerRegen,championStats_spellVamp,currentGold,damageStats_magicDamageDone,damageStats_magicDamageDoneToChampions,damageStats_magicDamageTaken,damageStats_physicalDamageDone,damageStats_physicalDamageDoneToChampions,damageStats_physicalDamageTaken,damageStats_totalDamageDone,damageStats_totalDamageDoneToChampions,damageStats_totalDamageTaken,damageStats_trueDamageDone,damageStats_trueDamageDoneToChampions,damageStats_trueDamageTaken,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,position_x,position_y,timeEnemySpentControlled,totalGold,xp,timestamp,info_matchId
abilityHaste,abilityPower,armor,armorPen,armorPenPercent,attackDamage,attackSpeed,bonusArmorPenPercent,bonusMagicPenPercent,ccReduction,cooldownReduction,health,healthMax,healthRegen,lifesteal,magicPen,magicPenPercent,magicResist,movementSpeed,omnivamp,physicalVamp,power,powerMax,powerRegen,spellVamp,currentGold,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,position_x,position_y,timeEnemySpentControlled,totalGold,xp,timestamp,matchId
Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Bigint(16),Varchar(16)
0,0,33,0,0,25,100,0,0,0,0,630,630,0,0,0,0,32,340,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,554,581,0,500,0,0,EUW1_7275124164
0,0,33,0,0,79,100,0,0,0,0,720,720,17,3,0,0,32,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4309,11703,0,500,0,60017,EUW1_7275124164
0,0,33,0,0,83,100,0,0,0,0,589,720,17,3,0,0,32,340,0,0,0,0,0,0,118,0,0,0,762,96,146,762,96,146,0,0,0,0,0,1,4,1,2240,12741,968,618,215,120032,EUW1_7275124164
0,0,39,0,0,83,105,0,0,0,0,433,887,18,3,0,0,35,340,0,0,0,0,0,0,437,0,0,0,3514,884,740,3514,884,740,0,0,0,0,0,3,16,1,3033,12703,4843,937,829,180044,EUW1_7275124164
0,0,42,0,0,96,107,0,0,0,0,1006,1006,19,3,0,0,36,340,0,0,0,0,0,0,213,0,0,0,5204,983,1262,5314,1093,1262,110,110,0,0,0,4,25,1,1641,11436,7123,1213,1351,240066,EUW1_7275124164
0,0,46,0,0,98,110,0,0,0,0,924,1099,20,3,0,0,38,340,0,0,0,0,0,0,575,0,0,0,7297,1134,1552,7407,1244,1552,110,110,0,0,0,5,36,1,1427,11194,9536,1575,1999,300144,EUW1_7275124164
0,0,50,0,0,121,113,0,0,0,0,1033,1225,20,3,0,0,40,522,0,0,0,0,0,0,95,0,0,99,9408,1968,2558,9518,2078,2657,110,110,0,0,0,6,41,1,665,1123,12081,1795,2491,360148,EUW1_7275124164
0,0,50,0,0,121,113,0,0,0,0,1091,1225,20,3,0,0,40,340,0,0,0,0,0,0,744,0,0,99,12049,2429,2784,12307,2607,2883,258,178,0,0,0,6,44,1,4032,13632,12983,2444,2722,420149,EUW1_7275124164
